战争之王,2005,8.7,318218人评价
燃情岁月,1994,8.8,256999人评价
谍影重重2,2004,8.7,313604人评价
崖上的波妞,2008,8.6,414861人评价
海洋,2009,9.1,145937人评价
阿飞正传,1990,8.5,444337人评价
谍影重重,2002,8.6,376206人评价
穿越时空的少女,2006,8.6,343583人评价
爱乐之城,2016,8.4,750571人评价
地球上的星星,2007,8.9,183715人评价
香水,2006,8.5,492423人评价
再次出发之纽约遇见你,2013,8.6,378140人评价
我爱你,2011,9.1,146762人评价
完美陌生人,2016,8.5,476526人评价
朗读者,2008,8.6,415071人评价
火星救援,2015,8.5,624050人评价
聚焦,2015,8.8,247391人评价
驴得水,2016,8.3,820904人评价
千年女优,2001,8.8,213326人评价
小萝莉的猴神大叔,2015,8.4,440292人评价
浪潮,2008,8.7,242810人评价
末路狂花,1991,8.8,197748人评价
